group_code,group_name,sub_code,sub_name,ly_trinh,unit,thiet_ke,percent_week,note,from_date,to_date
II.3,Tuyến Nội khu,,Thi công lớp cát đệm đầm chặt K95,0,m3,25.190000000000005,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công lớp đá dăm 2x4 đệm,0,m3,37.785000000000004,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Lắp đặt cống D800,0,m,229,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công lớp đá dăm 2x4 đệm móng hố ga,0,m3,27.64800000000001,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công bê tông lót M100 móng hố ga,0,m3,20.736000000000008,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Lắp đặt hố ga D800,0,cái,48,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,D1000,nan,nan,nan,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công đào móng ga cống,nan,m3,1874.0001803515618,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công lớp cát đệm đầm chặt K95,0,m3,51.483000000000004,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công lớp đá dăm 2x4 đệm,0,m3,77.2245,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Lắp đặt cống D1000,0,m,393,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công lớp đá dăm 2x4 đệm móng hố ga,0,m3,3.7800000000000007,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công bê tông lót M100 móng hố ga,0,m3,2.8350000000000004,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Lắp đặt hố ga D1000,0,cái,5,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,D1250,nan,nan,nan,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công đào móng ga cống,nan,m3,1153.0132431674995,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công lớp cát đệm đầm chặt K95,0,m3,31.5436,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công lớp đá dăm 2x4 đệm,0,m3,47.3154,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Lắp đặt cống D1250,0,m,214,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công lớp đá dăm 2x4 đệm móng hố ga,0,m3,nan,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Thi công bê tông lót M100 móng hố ga,0,m3,nan,,nan,2025-06-23,2025-06-29
II.3,Tuyến Nội khu,,Lắp đặt hố ga D1250,0,cái,nan,,nan,2025-06-23,2025-06-29
