"id","group_code","group_name","sub_group_code","sub_group_name","task_name","ly_trinh","unit","thiet_ke","percent_week","percent_duan","note","from_date","to_date","sub_code","sub_name"
"192","II.1","Tuyến Cải tạo",,,,"Từ G7 đến G14","m3","67.071",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm"
"193","II.1","Tuyến Cải tạo",,,,"Từ G7 đến G14","m","566",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt cống D600"
"194","II.1","Tuyến Cải tạo",,,,"Từ G7 đến G14","m3","19.968000000000004",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm móng hố ga"
"195","II.1","Tuyến Cải tạo",,,,"Từ G7 đến G14","m3","14.976000000000003",,,"nan","2025-06-23","2025-06-29",,"Thi công bê tông lót M100 móng hố ga"
"196","II.1","Tuyến Cải tạo",,,,"Từ G7 đến G14","cái","39",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt hố ga D600"
"197","II.1","Tuyến Cải tạo",,,,"nan","nan","nan",,,"nan","2025-06-23","2025-06-29",,"D800"
"198","II.1","Tuyến Cải tạo",,,,"nan","m3","1715.879529505439",,,"nan","2025-06-23","2025-06-29",,"Thi công đào móng ga cống"
"199","II.1","Tuyến Cải tạo",,,,"0","m3","53.24000000000001",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp cát đệm đầm chặt K95"
"200","II.1","Tuyến Cải tạo",,,,"0","m3","79.86",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm"
"201","II.1","Tuyến Cải tạo",,,,"0","m","484",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt cống D800"
"202","II.1","Tuyến Cải tạo",,,,"0","m3","9.216000000000001",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm móng hố ga"
"203","II.1","Tuyến Cải tạo",,,,"0","m3","6.912000000000001",,,"nan","2025-06-23","2025-06-29",,"Thi công bê tông lót M100 móng hố ga"
"204","II.1","Tuyến Cải tạo",,,,"0","cái","16",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt hố ga D800"
"205","II.3","Tuyến Nội khu",,,,"nan","nan","nan",,,"nan","2025-06-23","2025-06-29",,"D600"
"206","II.3","Tuyến Nội khu",,,,"Từ G23 đến G29","m3","3093.8068323320217",,,"nan","2025-06-23","2025-06-29",,"Thi công đào móng ga cống"
"207","II.3","Tuyến Nội khu",,,,"Từ G23 đến G29","m3","96.38000000000002",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp cát đệm đầm chặt K95"
"208","II.3","Tuyến Nội khu",,,,"Từ G23 đến G29","m3","144.57",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm móng cống"
"209","II.3","Tuyến Nội khu",,,,"Từ G23 đến G29","m","1220",,,"nan","2025-06-23","2025-06-29",,"Lắp đặt cống"
"210","II.3","Tuyến Nội khu",,,,"Từ G23 đến G29","m3","24.064000000000004",,,"nan","2025-06-23","2025-06-29",,"Thi công lớp đá dăm 2x4 đệm móng hố ga"
"211","II.3","Tuyến Nội khu",,,,"Từ G23 đến G29","m3","18.048000000000002",,,"nan","2025-06-23","2025-06-29",,"Thi công bê tông lót M100 móng hố ga"
